age,job,marital,education,default,housing,loan,contact,month,day_of_week,unique_id
56.0,housemaid,married,basic.4y,no,no,no,telephone,may,mon,f7a457b7-7a0f-4f3d-8c99-4ebaf22a920b
57.0,services,married,high.school,unknown,no,no,telephone,may,mon,7af9956d-8dc7-4a63-89b9-d7f0f6786018
37.0,services,married,high.school,no,yes,no,telephone,may,mon,326f5571-2f8d-4238-bb0b-a6162fe2a454
40.0,admin.,married,basic.6y,no,no,no,telephone,may,mon,f4cdbe09-941c-46cb-b2cc-21ee29849c1a
56.0,services,married,high.school,no,no,yes,telephone,may,mon,d556dcb5-7067-4246-9cbb-4a48c4106581
45.0,services,married,basic.9y,unknown,no,no,telephone,may,mon,557b337b-5264-46ec-83a8-4737ed04d2c7
59.0,admin.,married,professional.course,no,no,no,telephone,may,mon,066645ae-bde6-4f65-97a0-878b60bbd721
41.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,ed6525e2-e3b4-4a92-a585-5c8e8e146c43
24.0,technician,single,professional.course,no,yes,no,telephone,may,mon,64867c76-88fc-4cb4-8d34-0041c89b28b4
25.0,services,single,high.school,no,yes,no,telephone,may,mon,baf86515-becf-4aaa-88f2-f936bea33a33
41.0,blue-collar,married,unknown,unknown,no,no,telephone,may,mon,aec6d832-b45a-4f62-9d63-502e4f428343
25.0,services,single,high.school,no,yes,no,telephone,may,mon,51aa722c-d4bc-4d59-b7d5-d714a43b5597
29.0,blue-collar,single,high.school,no,no,yes,telephone,may,mon,55fc7981-b2c1-4143-b3d5-f0cbdee20c7c
57.0,housemaid,divorced,basic.4y,no,yes,no,telephone,may,mon,ff5e2092-4faf-4ebe-8c6a-a142b7fd74ad
35.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,97d11cad-157e-4d6d-9723-d9d0d903dbce
54.0,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon,e61051ba-8c60-4463-9bf5-e2f5a5ef8629
35.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,ab0616b3-bdbd-47a6-b040-730cc0537a65
46.0,blue-collar,married,basic.6y,unknown,yes,yes,telephone,may,mon,42ff4d54-9c63-47ef-8e76-46577b5e4e69
50.0,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,ac4e1ebf-9b5d-47d1-83e0-1729f0c7f507
39.0,management,single,basic.9y,unknown,no,no,telephone,may,mon,f6abdfd8-5795-4d64-bf13-ae69705e65ac
30.0,unemployed,married,high.school,no,no,no,telephone,may,mon,9d9c797d-dff1-4dcc-a1f7-d15675a2ffaf
55.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,mon,231a307f-364f-4d1d-ae65-b46e3305f665
55.0,retired,single,high.school,no,yes,no,telephone,may,mon,9f922c2f-6f02-44d5-93db-65bbf9685789
41.0,technician,single,high.school,no,yes,no,telephone,may,mon,795f8426-7a5e-4c83-90d7-1716bbd0cc75
37.0,admin.,married,high.school,no,yes,no,telephone,may,mon,877958db-a736-4f72-91c5-d733ac314c75
35.0,technician,married,university.degree,no,no,yes,telephone,may,mon,dbb89423-8239-4e45-8004-41e10c3ae942
59.0,technician,married,unknown,no,yes,no,telephone,may,mon,56a6d147-5334-49df-9ae7-f9a67587e79f
39.0,self-employed,married,basic.9y,unknown,no,no,telephone,may,mon,f9c8dc10-e673-4ac5-b33f-48c5c76096d3
54.0,technician,single,university.degree,unknown,no,no,telephone,may,mon,dca84b1a-4659-474b-9491-f1f2cbf1dbea
-55.0,unknown,married,university.degree,unknown,unknown,unknown,telephone,may,mon,ed354273-e376-4184-b50d-b6650d8598db
46.0,admin.,married,unknown,no,no,no,telephone,may,mon,13fb8002-f5fe-4d16-b85e-9dd78b8a9c86
59.0,technician,married,unknown,no,yes,no,telephone,may,mon,90c0d347-888d-4e91-b5a5-1ac5189cfbe4
49.0,blue-collar,married,unknown,no,no,no,telephone,may,mon,62c8fe66-9349-4a96-90cd-81dce3b134fc
54.0,management,married,basic.4y,unknown,yes,no,telephone,may,mon,13c038cf-5327-4c9a-a7bd-3800f8092a3c
54.0,blue-collar,divorced,basic.4y,no,no,no,telephone,may,mon,368ef481-b01d-46b4-bf6a-a413a0f181ca
55.0,unknown,married,basic.4y,unknown,yes,no,telephone,may,mon,2826c195-e91f-453c-b733-5c3f2f89b3fe
34.0,services,married,high.school,no,no,no,telephone,may,mon,6829777c-7422-4073-850a-f8586edd1f43
52.0,technician,married,basic.9y,no,yes,no,telephone,may,mon,9ef5ab69-3625-4c11-accc-d53e7b81e25a
41.0,admin.,married,university.degree,no,yes,no,telephone,may,mon,de7db4d3-1079-432c-9dcf-62d5abed3f95
56.0,technician,married,basic.4y,no,yes,no,telephone,may,mon,12e12b4e-7e29-41e3-b409-94059e750807
58.0,management,unknown,university.degree,no,yes,no,telephone,may,mon,a9087dde-b847-492d-ba67-a43ff42c7748
