duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,unique_id
261,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,f7a457b7-7a0f-4f3d-8c99-4ebaf22a920b
149,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,7af9956d-8dc7-4a63-89b9-d7f0f6786018
226,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,326f5571-2f8d-4238-bb0b-a6162fe2a454
151,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,f4cdbe09-941c-46cb-b2cc-21ee29849c1a
307,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,d556dcb5-7067-4246-9cbb-4a48c4106581
198,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,557b337b-5264-46ec-83a8-4737ed04d2c7
139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,066645ae-bde6-4f65-97a0-878b60bbd721
217,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,ed6525e2-e3b4-4a92-a585-5c8e8e146c43
380,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,64867c76-88fc-4cb4-8d34-0041c89b28b4
50,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,baf86515-becf-4aaa-88f2-f936bea33a33
55,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,aec6d832-b45a-4f62-9d63-502e4f428343
222,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,51aa722c-d4bc-4d59-b7d5-d714a43b5597
137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,55fc7981-b2c1-4143-b3d5-f0cbdee20c7c
293,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,ff5e2092-4faf-4ebe-8c6a-a142b7fd74ad
146,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,97d11cad-157e-4d6d-9723-d9d0d903dbce
174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,e61051ba-8c60-4463-9bf5-e2f5a5ef8629
312,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,ab0616b3-bdbd-47a6-b040-730cc0537a65
440,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,42ff4d54-9c63-47ef-8e76-46577b5e4e69
353,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,ac4e1ebf-9b5d-47d1-83e0-1729f0c7f507
195,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,f6abdfd8-5795-4d64-bf13-ae69705e65ac
38,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,9d9c797d-dff1-4dcc-a1f7-d15675a2ffaf
262,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,231a307f-364f-4d1d-ae65-b46e3305f665
342,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,9f922c2f-6f02-44d5-93db-65bbf9685789
181,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,795f8426-7a5e-4c83-90d7-1716bbd0cc75
172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,877958db-a736-4f72-91c5-d733ac314c75
99,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,dbb89423-8239-4e45-8004-41e10c3ae942
93,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,56a6d147-5334-49df-9ae7-f9a67587e79f
233,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,f9c8dc10-e673-4ac5-b33f-48c5c76096d3
255,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,dca84b1a-4659-474b-9491-f1f2cbf1dbea
362,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,ed354273-e376-4184-b50d-b6650d8598db
348,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,13fb8002-f5fe-4d16-b85e-9dd78b8a9c86
386,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,90c0d347-888d-4e91-b5a5-1ac5189cfbe4
73,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,62c8fe66-9349-4a96-90cd-81dce3b134fc
230,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,13c038cf-5327-4c9a-a7bd-3800f8092a3c
208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,368ef481-b01d-46b4-bf6a-a413a0f181ca
336,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2826c195-e91f-453c-b733-5c3f2f89b3fe
365,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,6829777c-7422-4073-850a-f8586edd1f43
1666,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,9ef5ab69-3625-4c11-accc-d53e7b81e25a
577,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,de7db4d3-1079-432c-9dcf-62d5abed3f95
137,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,12e12b4e-7e29-41e3-b409-94059e750807
366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,a9087dde-b847-492d-ba67-a43ff42c7748
314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1d4f15c6-0177-4076-a3ee-94cb52878184
160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,5fb933a4-d8a9-4d77-b378-341a31e91172
212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,f2c805d0-9e64-4f95-8eb7-4e4c9638673a
188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,b69ae1a3-1d58-4e41-9f73-60df5fda702f
22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,3192eda6-8f6d-4a49-8b03-a655ec898f8a
616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,5dda2ea4-5856-4b95-a08e-341f792a07bc
178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2436eedc-59bf-47c2-baa1-4cd86bd44eaa
355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,6534e6de-4f55-46bb-b742-c4cd1e7bbdcd
225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,78d729a6-fd38-4850-97fa-8ac1a6fdc486
160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,5a5fd999-5893-4cf1-9c59-1e4e9016beb8
266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,32c8b317-c112-4ebf-abea-7cf715e96b45
253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,d664da8a-ad6f-4f55-9181-8dde0bdf7e1a
179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,8f71d01d-ed39-4e29-aaa1-0ecf1171a06f
269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,4cf5536d-0d01-4a33-b7b1-98ac1d8834f6
135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,5d755f14-d7b4-42ce-92db-5cfc81206c82
161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,9cd09bfc-84e0-4d14-ac2b-fd170bd0c463
787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,0db568c7-2eae-44cb-88c5-503d210ff356
145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1de74707-1af0-45d3-9428-85b0fee3569b
174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2b0403a7-78ed-4b53-8b3a-f2179ce209d1
449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,1663b19d-2c93-4434-a061-ac50110cca4c
812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,b4bacaf4-fdd3-4bd9-a06c-28ea61dc9daf
164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,362181f0-05e4-4f65-a3e2-06a1661f7c7d
366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,260ada8c-a82f-4dd4-a765-abbf1dc65c96
357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,dd5597c4-0761-42e4-b206-abad5bad11ab
232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2888d962-4ce7-4c4a-bcca-a080896dbcf6
91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,936d6bd7-02eb-4f5e-9958-14843019ea63
273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,4c72c892-e02f-4a79-ba98-9d39ebdaecd9
158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,967f5aad-f7e6-41e7-a495-c55e3531ac1a
177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,b366c1fe-0ac2-4694-baad-b8773297b153
200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,afb4bc93-53f5-41d8-a504-605d1d90845e
172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,417357f4-1cb9-4448-bcfd-4ff848fe60e6
176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,acf612f4-e3dd-479c-94b0-bb6aa49525b1
211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,79760092-6d74-4852-af3f-ea6182d03cad
